iter	RMSE
0	11.16089026
1	11.12314862
2	11.08779991
3	11.05503966
4	11.02283258
5	10.98879189
6	10.9577227
7	10.92932495
8	10.89969678
9	10.86940551
10	10.84238578
11	10.81550841
12	10.78886879
13	10.76268904
14	10.73655347
15	10.71114497
16	10.68855428
17	10.66714018
18	10.64517135
19	10.62409119
20	10.60172852
21	10.58186536
22	10.56253071
23	10.54258501
24	10.52236651
25	10.5032186
26	10.48552771
27	10.46834608
28	10.45146672
29	10.43487547
30	10.41978543
31	10.40344524
32	10.38996292
33	10.37511231
34	10.36144076
35	10.34705822
36	10.33370739
37	10.32029394
38	10.30705749
39	10.29465825
40	10.28359387
41	10.27148809
42	10.26017742
43	10.24813363
44	10.23690323
45	10.22606871
46	10.21551518
47	10.20560073
48	10.19496124
49	10.18483277
50	10.17479442
51	10.16648104
52	10.15709826
53	10.14934137
54	10.14091538
55	10.13131709
56	10.12282572
57	10.1148183
58	10.10637188
59	10.09803788
60	10.08997206
61	10.08192468
62	10.07469045
63	10.06745163
64	10.06012981
65	10.05300757
66	10.04622374
67	10.03972315
68	10.03339618
69	10.02754942
70	10.02166011
71	10.01563121
72	10.00913122
73	10.00292934
74	9.997089389
75	9.990748062
76	9.985726153
77	9.980639393
78	9.975668264
79	9.970761944
80	9.96582515
81	9.961053639
82	9.955570834
83	9.951055518
84	9.946487843
85	9.941695121
86	9.936586925
87	9.932134972
88	9.927720619
89	9.923490416
90	9.919009806
91	9.914777939
92	9.910649632
93	9.906474123
94	9.902818394
95	9.899440312
96	9.895743468
97	9.892074312
98	9.888646735
99	9.885345236
100	9.881944094
101	9.878316656
102	9.874901451
103	9.870988793
104	9.867790902
105	9.86465926
106	9.861282052
107	9.858209703
108	9.855192299
109	9.852153033
110	9.848073252
111	9.84464858
112	9.841540538
113	9.838300796
114	9.834667979
115	9.831434439
116	9.82813355
117	9.825086441
118	9.822086865
119	9.819252918
120	9.816409751
121	9.813842378
122	9.810774509
123	9.80768163
124	9.805004155
125	9.802446895
126	9.800106114
127	9.797028006
128	9.794367789
129	9.791912415
130	9.789766456
131	9.787586032
132	9.785114949
133	9.78187455
134	9.779530349
135	9.776716252
136	9.774804319
137	9.772592533
138	9.7701205
139	9.767811555
140	9.765696312
141	9.763004656
142	9.760851882
143	9.758890627
144	9.756994784
145	9.754820954
146	9.752473602
147	9.750128698
148	9.748556991
149	9.746330302
150	9.744504772
151	9.742518572
152	9.740486822
153	9.738260233
154	9.735393328
155	9.73311674
156	9.731105394
157	9.729184417
158	9.727068194
159	9.725043889
160	9.723053507
161	9.72088973
162	9.71905986
163	9.71694593
164	9.714808627
165	9.712982951
166	9.711367067
167	9.709603741
168	9.707652037
169	9.706073606
170	9.704339624
171	9.702513974
172	9.700933877
173	9.698624581
174	9.696903611
175	9.694588816
176	9.692725888
177	9.690650436
178	9.689145415
179	9.687756413
180	9.686368056
181	9.684698362
182	9.682963319
183	9.681381929
184	9.679745051
185	9.678428019
186	9.676765661
187	9.675429764
188	9.673998381
189	9.672701788
190	9.671181068
191	9.669839945
192	9.66830645
193	9.666132514
194	9.664687842
195	9.66269331
196	9.660842082
197	9.658792039
198	9.657560881
199	9.656124533
200	9.654469023
201	9.653265099
202	9.651888479
203	9.650395949
204	9.648905259
205	9.647417049
206	9.64578974
207	9.644205703
208	9.642664957
209	9.640842866
210	9.639324664
