iter	Passed	Remaining
0	146	83863
1	158	45410
2	172	32853
3	186	26545
4	200	22870
5	212	20143
6	225	18239
7	237	16798
8	251	15806
9	263	14881
10	276	14135
11	288	13492
12	301	13014
13	314	12587
14	332	12387
15	351	12241
16	397	13011
17	418	12911
18	437	12783
19	455	12617
20	470	12383
21	485	12188
22	502	12041
23	521	11959
24	539	11854
25	562	11865
26	590	11970
27	619	12083
28	646	12158
29	680	12342
30	706	12372
31	732	12400
32	759	12452
33	781	12415
34	795	12253
35	815	12181
36	832	12081
37	850	11991
38	869	11924
39	886	11840
40	902	11731
41	919	11649
42	933	11529
43	948	11423
44	965	11344
45	997	11448
46	1015	11383
47	1029	11285
48	1044	11186
49	1058	11093
50	1073	11007
51	1088	10925
52	1102	10833
53	1117	10756
54	1132	10688
55	1147	10617
56	1180	10705
57	1193	10617
58	1210	10567
59	1225	10500
60	1241	10439
61	1258	10391
62	1274	10335
63	1287	10260
64	1302	10198
65	1333	10261
66	1355	10256
67	1376	10239
68	1395	10215
69	1418	10215
70	1433	10154
71	1447	10093
72	1462	10039
73	1475	9972
74	1491	9925
75	1506	9873
76	1523	9831
77	1540	9794
78	1557	9758
79	1571	9705
80	1585	9648
81	1598	9590
82	1613	9547
83	1656	9664
84	1673	9626
85	1689	9589
86	1707	9559
87	1722	9510
88	1734	9454
89	1748	9402
90	1762	9356
91	1777	9310
92	1792	9268
93	1806	9227
94	1819	9175
95	1833	9128
96	1847	9085
97	1863	9049
98	1879	9017
99	1893	8974
100	1908	8936
101	1922	8897
102	1937	8861
103	1957	8846
104	1992	8901
105	2009	8869
106	2023	8830
107	2038	8797
108	2051	8752
109	2066	8718
110	2079	8675
111	2095	8642
112	2114	8626
113	2129	8592
114	2142	8551
115	2155	8508
116	2166	8463
117	2179	8422
118	2193	8385
119	2207	8350
120	2220	8312
121	2233	8274
122	2247	8240
123	2263	8212
124	2276	8177
125	2290	8143
126	2303	8106
127	2317	8076
128	2332	8046
129	2346	8012
130	2360	7981
131	2374	7952
132	2388	7919
133	2401	7885
134	2413	7849
135	2426	7815
136	2440	7783
137	2453	7753
138	2467	7722
139	2479	7687
140	2492	7655
141	2506	7624
142	2519	7593
143	2533	7565
144	2548	7539
145	2563	7514
146	2576	7483
147	2590	7456
148	2604	7428
149	2619	7403
150	2632	7375
151	2648	7352
152	2664	7331
153	2678	7305
154	2693	7280
155	2710	7261
156	2723	7234
157	2735	7201
158	2747	7171
159	2759	7140
160	2770	7108
161	2781	7074
162	2793	7043
163	2807	7017
164	2820	6991
165	2836	6971
166	2850	6947
167	2865	6923
168	2878	6897
169	2889	6867
170	2903	6842
171	2915	6812
172	2927	6785
173	2938	6755
174	2949	6725
175	2961	6697
176	2973	6669
177	2985	6640
178	2996	6613
179	3008	6585
180	3021	6560
181	3033	6533
182	3045	6506
183	3056	6478
184	3068	6451
185	3080	6426
186	3093	6402
187	3106	6378
188	3118	6352
189	3130	6327
190	3144	6306
191	3157	6281
192	3169	6257
193	3182	6233
194	3195	6210
195	3207	6186
196	3219	6161
197	3231	6137
198	3244	6113
199	3258	6093
200	3273	6073
201	3286	6052
202	3298	6028
203	3311	6006
204	3325	5985
205	3339	5965
206	3352	5943
207	3365	5922
208	3380	5903
209	3393	5881
210	3410	5867
211	3425	5848
212	3438	5828
213	3453	5809
214	3467	5790
215	3481	5770
216	3495	5750
217	3507	5728
218	3520	5706
219	3533	5685
220	3549	5669
221	3565	5652
222	3578	5633
223	3592	5612
224	3604	5591
225	3617	5571
226	3631	5550
227	3643	5529
228	3656	5508
229	3672	5492
230	3687	5475
231	3702	5458
232	3717	5440
233	3730	5420
234	3741	5397
235	3753	5375
236	3764	5353
237	3776	5330
238	3787	5309
239	3801	5290
240	3814	5270
241	3827	5251
242	3840	5231
243	3853	5211
244	3867	5192
245	3880	5173
246	3893	5154
247	3908	5138
248	3927	5126
249	3943	5110
250	3956	5091
251	3970	5073
252	4011	5089
253	4023	5068
254	4035	5048
255	4050	5030
256	4065	5014
257	4078	4995
258	4093	4978
259	4108	4961
260	4121	4942
261	4136	4926
262	4153	4911
263	4172	4899
264	4188	4884
265	4203	4867
266	4219	4851
267	4233	4834
268	4249	4817
269	4260	4797
270	4275	4780
271	4291	4764
272	4305	4747
273	4320	4729
274	4340	4719
275	4389	4739
276	4404	4722
277	4419	4706
278	4434	4688
279	4446	4668
280	4459	4649
281	4471	4630
282	4484	4611
283	4497	4592
284	4511	4574
285	4526	4558
286	4540	4540
287	4554	4523
288	4569	4506
289	4583	4488
290	4597	4471
291	4609	4451
292	4622	4433
293	4638	4417
294	4651	4398
295	4665	4382
296	4679	4364
297	4694	4347
298	4706	4329
299	4720	4311
300	4734	4293
301	4748	4276
302	4761	4258
303	4775	4241
304	4786	4221
305	4799	4203
306	4813	4186
307	4827	4168
308	4839	4150
309	4853	4133
310	4868	4116
311	4881	4099
312	4895	4082
313	4908	4064
314	4921	4046
315	4933	4028
316	4947	4011
317	4960	3993
318	4972	3974
319	4982	3955
320	4995	3937
321	5009	3920
322	5022	3902
323	5034	3884
324	5046	3866
325	5059	3849
326	5071	3830
327	5082	3812
328	5095	3794
329	5106	3775
330	5118	3757
331	5130	3739
332	5143	3722
333	5155	3704
334	5166	3685
335	5178	3668
336	5192	3651
337	5205	3634
338	5217	3617
339	5228	3598
340	5241	3581
341	5254	3564
342	5267	3547
343	5280	3530
344	5294	3514
345	5308	3497
346	5322	3481
347	5335	3464
348	5348	3448
349	5359	3430
350	5371	3412
351	5382	3394
352	5393	3376
353	5404	3358
354	5417	3341
355	5428	3324
356	5439	3306
357	5451	3288
358	5461	3270
359	5472	3253
360	5483	3235
361	5494	3217
362	5504	3199
363	5516	3182
364	5526	3164
365	5537	3146
366	5550	3130
367	5561	3113
368	5571	3095
369	5582	3077
370	5593	3060
371	5603	3042
372	5616	3026
373	5626	3008
374	5636	2990
375	5647	2973
376	5661	2958
377	5675	2942
378	5687	2926
379	5699	2909
380	5711	2893
381	5724	2877
382	5735	2860
383	5748	2844
384	5761	2828
385	5774	2812
386	5788	2796
387	5799	2780
388	5812	2764
389	5825	2748
390	5837	2732
391	5848	2715
392	5860	2699
393	5873	2683
394	5885	2667
395	5899	2651
396	5915	2637
397	5926	2620
398	5939	2605
399	5952	2589
400	5967	2574
401	5980	2558
402	5994	2543
403	6006	2527
404	6020	2512
405	6034	2497
406	6047	2481
407	6062	2466
408	6077	2451
409	6091	2436
410	6104	2420
411	6117	2405
412	6130	2389
413	6145	2374
414	6159	2360
415	6172	2344
416	6184	2328
417	6196	2312
418	6213	2298
419	6226	2283
420	6241	2268
421	6258	2254
422	6273	2239
423	6285	2223
424	6298	2208
425	6315	2194
426	6330	2179
427	6346	2164
428	6359	2149
429	6374	2134
430	6389	2119
431	6402	2104
432	6415	2089
433	6428	2073
434	6441	2058
435	6453	2042
436	6466	2027
437	6479	2011
438	6491	1996
439	6504	1980
440	6518	1965
441	6531	1950
442	6546	1935
443	6561	1921
444	6576	1906
445	6592	1891
446	6608	1877
447	6621	1862
448	6637	1847
449	6668	1837
450	6680	1822
451	6694	1807
452	6707	1791
453	6722	1776
454	6738	1762
455	6749	1746
456	6762	1731
457	6775	1716
458	6791	1701
459	6807	1687
460	6823	1672
461	6838	1657
462	6868	1646
463	6881	1631
464	6895	1616
465	6911	1601
466	6926	1586
467	6941	1572
468	6955	1557
469	6970	1542
470	6987	1527
471	7000	1512
472	7013	1497
473	7026	1482
474	7042	1467
475	7055	1452
476	7067	1437
477	7080	1422
478	7096	1407
479	7111	1392
480	7125	1377
481	7138	1362
482	7151	1347
483	7165	1332
484	7177	1317
485	7191	1302
486	7205	1287
487	7221	1272
488	7234	1257
489	7246	1242
490	7259	1227
491	7272	1212
492	7288	1197
493	7303	1182
494	7318	1168
495	7333	1153
496	7348	1138
497	7361	1123
498	7375	1108
499	7391	1093
500	7406	1079
501	7420	1064
502	7434	1049
503	7449	1034
504	7465	1019
505	7478	1005
506	7493	990
507	7506	975
508	7520	960
509	7535	945
510	7550	930
511	7566	916
512	7579	901
513	7593	886
514	7607	871
515	7621	856
516	7637	842
517	7650	827
518	7666	812
519	7680	797
520	7694	782
521	7708	767
522	7723	753
523	7738	738
524	7750	723
525	7765	708
526	7781	694
527	7796	679
528	7810	664
529	7825	649
530	7840	634
531	7854	620
532	7867	605
533	7882	590
534	7896	575
535	7912	560
536	7925	546
537	7937	531
538	7952	516
539	7965	501
540	7980	486
541	7995	472
542	8009	457
543	8023	442
544	8037	427
545	8050	412
546	8062	397
547	8074	383
548	8087	368
549	8100	353
550	8114	338
551	8127	323
552	8140	309
553	8153	294
554	8165	279
555	8178	264
556	8190	249
557	8202	235
558	8213	220
559	8223	205
560	8235	190
561	8247	176
562	8261	161
563	8277	146
564	8287	132
565	8299	117
566	8320	102
567	8331	88
568	8343	73
569	8356	58
570	8368	43
571	8385	29
572	8396	14
573	8409	0
