Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
England,England,Hip Replacement,EQ VAS,63.311,20,50,70,80,95,77.31,40,70,80,90,100,14,-20,0,10,30,60,22541,3155,7199,32895
England,England,Hip Replacement,EQ-5D Index,0.34,-0.074,0.055,0.516,0.62,0.745,0.799,0.226,0.691,0.848,1,1,0.458,0,0.204,0.413,0.741,1.016,30931,1809,1594,34334
England,England,Hip Replacement,Oxford Hip Score,17.601,5,11,17,23,32,39.813,21,36,43,46,48,22.212,4,16,23,30,37,36016,182,842,37040
England,England,Knee Replacement,EQ VAS,66.99,30,50,70,80,95,75.148,40,68,80,90,97,8.157,-25,-5,5,20,49,22964,4464,10962,38390
England,England,Knee Replacement,EQ-5D Index,0.414,-0.074,0.088,0.587,0.691,0.76,0.751,0.159,0.691,0.779,1,1,0.336,-0.104,0.071,0.309,0.603,0.899,33050,3551,3362,39963
England,England,Knee Replacement,Oxford Knee Score,18.986,7,13,19,24,32,36.08,17,31,38,44,47,17.093,0,11,18,24,32,40194,362,1899,42455
Age,10 to 14,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age,15 to 19,Hip Replacement,EQ VAS,45.714,20,25,40,62.5,79,75,50.6,66,80,86.5,89.7,29.286,0.1,15.5,30,44.5,59.7,6,0,1,7
Age,15 to 19,Hip Replacement,EQ-5D Index,0.388,0.005,0.055,0.587,0.656,0.716,0.735,0.587,0.603,0.727,0.814,0.954,0.347,-0.073,0,0.413,0.628,0.822,4,2,1,7
Age,15 to 19,Hip Replacement,Oxford Hip Score,14.429,5.9,8.5,13,21,23.4,41.286,32.6,37.5,43,46,47,26.857,14.1,19,21,37.5,40.8,7,0,0,7
Age,15 to 19,Knee Replacement,EQ VAS,40,40,40,40,40,40,95,95,95,95,95,95,55,55,55,55,55,55,1,0,0,1
Age,15 to 19,Knee Replacement,EQ-5D Index,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,0.71,0.71,0.71,0.71,0.71,0.71,0.726,0.726,0.726,0.726,0.726,0.726,1,0,0,1
Age,15 to 19,Knee Replacement,Oxford Knee Score,11,11,11,11,11,11,47,47,47,47,47,47,36,36,36,36,36,36,1,0,0,1
Age,20 to 24,Hip Replacement,EQ VAS,44.952,20,30,40,60,85,74.381,30,60,90,95,100,29.429,-5,11,35,43,63,19,0,2,21
Age,20 to 24,Hip Replacement,EQ-5D Index,0.237,-0.239,-0.016,0.208,0.587,0.695,0.709,-0.038,0.728,0.848,1,1,0.472,-0.006,0.159,0.413,0.752,1.057,16,2,1,19
Age,20 to 24,Hip Replacement,Oxford Hip Score,13.952,4,8,13,17,27,37.095,10,36,42,44,48,23.143,2,15,24,32,37,21,0,0,21
