Dimension;Value;Procedure;Measure;Pre-Op Q Mean;Pre-Op Q 5%;Pre-Op Q 1st Quartile;Pre-Op Q Median;Pre-Op Q 3rd Quartile;Pre-Op Q 95%;Post-Op Q Mean;Post-Op Q 5%;Post-Op Q 1st Quartile;Post-Op Q Median;Post-Op Q 3rd Quartile;Post-Op Q 95%;Heath Gain Mean;Heath Gain 5%;Heath Gain 1st Quartile;Heath Gain Median;Heath Gain 3rd Quartile;Heath Gain 95%;Improved;Unchanged;Worsened;Total
England;England;Hip Replacement;EQ VAS;64.067;20;50;70;80;95;77.29;40;70;80;90;100;13.223;-20;0;10;25;57;25956;3966;8585;38507
England;England;Hip Replacement;EQ-5D Index;0.355;-0.074;0.055;0.516;0.689;0.76;0.794;0.217;0.691;0.815;1;1;0.44;-0.035;0.192;0.413;0.708;1.003;35767;2196;2147;40110
England;England;Hip Replacement;Oxford Hip Score;18.033;5;12;17;24;33;39.525;21;35;42;46;48;21.491;3;15;22;29;37;41858;243;1150;43251
England;England;Knee Replacement;EQ VAS;67.506;30;50;70;80;95;74.391;40;65;80;90;96;6.885;-29;-5;5;20;45;23836;5348;12273;41457
England;England;Knee Replacement;EQ-5D Index;0.415;-0.074;0.088;0.587;0.691;0.76;0.738;0.088;0.689;0.76;1;1;0.323;-0.104;0.069;0.309;0.601;0.87;35260;4209;3954;43423
England;England;Knee Replacement;Oxford Knee Score;19.051;7;13;19;24;32;35.537;16;30;38;43;47;16.485;-1;10;17;24;32;44015;486;2427;46928
Age;10 to 14;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;
Age;10 to 14;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;
Age;10 to 14;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;
Age;10 to 14;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;
Age;10 to 14;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;
Age;10 to 14;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;
Age;15 to 19;Hip Replacement;EQ VAS;53.5;21.25;43.75;57;67.25;79;80;51.25;75;90;90;93.75;26.5;13.5;16.25;25;30.75;45.25;6;0;0;6
Age;15 to 19;Hip Replacement;EQ-5D Index;0.216;-0.217;0.106;0.159;0.48;0.612;0.881;0.714;0.757;0.924;1;1;0.665;0.2;0.475;0.801;0.841;0.982;6;0;0;6
Age;15 to 19;Hip Replacement;Oxford Hip Score;17;7.75;11.75;17.5;22.5;25.5;44.667;37.75;41.75;47.5;48;48;27.667;22.25;23.25;25.5;29.25;37.5;6;0;0;6
Age;15 to 19;Knee Replacement;EQ VAS;85;85;85;85;85;85;95;95;95;95;95;95;10;10;10;10;10;10;1;0;0;1
Age;15 to 19;Knee Replacement;EQ-5D Index;0.055;0.055;0.055;0.055;0.055;0.055;1;1;1;1;1;1;0.945;0.945;0.945;0.945;0.945;0.945;1;0;0;1
Age;15 to 19;Knee Replacement;Oxford Knee Score;15;15;15;15;15;15;43;43;43;43;43;43;28;28;28;28;28;28;1;0;0;1
Age;20 to 24;Hip Replacement;EQ VAS;59.917;20.75;48.75;60;79;90;81.75;60;73.75;85;92.75;97.7;21.833;-10;4;22.5;35.75;65;19;1;4;24
Age;20 to 24;Hip Replacement;EQ-5D Index;0.325;-0.227;-0.016;0.516;0.689;0.746;0.827;0.464;0.76;0.883;1;1;0.501;0.08;0.24;0.413;0.812;1.146;24;0;1;25
Age;20 to 24;Hip Replacement;Oxford Hip Score;19.769;7;11.5;18;25.75;36.75;41.192;28;38.25;44.5;46.75;48;21.423;8.5;16;20;28;34;26;0;0;26
Age;20 to 24;Knee Replacement;EQ VAS;70;70;70;70;70;70;80;80;80;80;80;80;10;10;10;10;10;10;1;0;0;1
Age;20 to 24;Knee Replacement;EQ-5D Index;-0.016;-0.016;-0.016;-0.016;-0.016;-0.016;0.848;0.848;0.848;0.848;0.848;0.848;0.864;0.864;0.864;0.864;0.864;0.864;1;0;0;1
Age;20 to 24;Knee Replacement;Oxford Knee Score;5;5;5;5;5;5;42;42;42;42;42;42;37;37;37;37;37;37;1;0;0;1
Age;25 to 29;Hip Replacement;EQ VAS;57.516;25;47.5;60;72.5;87.5;75.839;35.5;67.5;80;90;100;18.323;-25;2.5;18;35;55;23;3;5;31
Age;25 to 29;Hip Replacement;EQ-5D Index;0.29;-0.076;-0.016;0.312;0.587;0.69;0.741;-0.016;0.587;0.848;1;1;0.451;-0.408;0.323;0.508;0.67;0.917;25;0;3;28
Age;25 to 29;Hip Replacement;Oxford Hip Score;19.935;7;13;18;26;36;38.065;20;31;42;45;48;18.129;6.5;13;19;23.5;31.5;30;0;1;31
Age;25 to 29;Knee Replacement;EQ VAS;70;53;65;80;80;80;56.667;17;45;80;80;80;-13.333;-36;-20;0;0;0;0;2;1;3
Age;25 to 29;Knee Replacement;EQ-5D Index;0.523;0.09;0.514;0.691;0.7;0.722;0.653;0.136;0.602;0.796;0.847;0.969;0.13;0.041;0.061;0.087;0.156;0.278;4;0;0;4
Age;25 to 29;Knee Replacement;Oxford Knee Score;20.5;9.5;15.5;22.5;27.5;28.7;42.5;41.15;41.75;42.5;43.25;43.85;22;12.45;14.25;20.5;28.25;33.65;4;0;0;4
Age;30 to 34;Hip Replacement;EQ VAS;53.065;17.75;33.75;57.5;70;85;73.402;30;63.75;75;90;100;20.337;-10;8;20;30;52.8;74;8;10;92
Age;30 to 34;Hip Replacement;EQ-5D Index;0.305;-0.074;0.036;0.228;0.62;0.739;0.709;-0.036;0.587;0.76;1;1;0.405;-0.104;0.106;0.38;0.726;0.945;78;5;11;94
Age;30 to 34;Hip Replacement;Oxford Hip Score;18.258;5;11;17;25;35.2;38.268;15.8;34;41;46;48;20.01;3.8;13;21;29;35;95;0;2;97
Age;30 to 34;Knee Replacement;EQ VAS;37.5;22.25;30;37.5;48.75;50;54.9;26.75;36.25;49.5;67.5;95.5;17.4;-12.75;3.5;15;23.75;56.5;7;1;2;10
Age;30 to 34;Knee Replacement;EQ-5D Index;0.076;-0.232;0.019;0.055;0.106;0.437;0.491;-0.161;0.115;0.656;0.783;1;0.415;0.025;0.096;0.35;0.702;0.909;7;1;0;8
Age;30 to 34;Knee Replacement;Oxford Knee Score;9.778;4.2;8;9;11;16.6;32.556;22;28;33;38;41.6;22.778;11.4;17;25;28;33.2;9;0;0;9
Age;35 to 39;Hip Replacement;EQ VAS;57.884;20;40;60;78;90.8;75.653;30;70;80;90;100;17.769;-29.4;0;20;39;59.4;124;12;37;173
Age;35 to 39;Hip Replacement;EQ-5D Index;0.287;-0.182;-0.016;0.201;0.587;0.739;0.717;-0.016;0.587;0.796;1;1;0.43;-0.185;0.204;0.434;0.697;1.001;152;7;15;174
Age;35 to 39;Hip Replacement;Oxford Hip Score;16.864;6;11;16;22.25;31;37.745;13.15;32;42;46;48;20.88;-1;15.75;22;30;37;173;0;11;184
Age;35 to 39;Knee Replacement;EQ VAS;53.833;20;38.75;55;70;83.5;71.167;40;58.75;74;86.25;91.7;17.333;-13.8;0;17.5;31.5;49.25;17;2;5;24
Age;35 to 39;Knee Replacement;EQ-5D Index;0.317;-0.074;0.019;0.174;0.638;0.691;0.552;-0.065;0.087;0.724;0.801;1;0.235;-0.606;-0.104;0.257;0.664;0.805;16;0;8;24
Age;35 to 39;Knee Replacement;Oxford Knee Score;15.84;5.2;11;16;20;29.4;31.2;10.4;18;31;44;45.8;15.36;-3.6;10;19;23;28.8;21;1;3;25
Age;40 to 44;Hip Replacement;EQ VAS;58.995;20;40;60;80;95;76.29;36.75;67.25;80;90;99;17.295;-20;0;15;32;60;270;23;73;366
Age;40 to 44;Hip Replacement;EQ-5D Index;0.355;-0.181;0.053;0.516;0.691;0.76;0.791;0.082;0.689;0.883;1;1;0.436;-0.036;0.211;0.38;0.707;1.003;330;11;20;361
Age;40 to 44;Hip Replacement;Oxford Hip Score;18.323;5.6;12;17;24;34;39.15;14;36;44;47;48;20.827;0;14;22;29;36;372;3;18;393
Age;40 to 44;Knee Replacement;EQ VAS;63.069;28.75;50;65;80;95;67.034;20;50;75;85;91.25;3.966;-37.75;-10;5;20;47;61;13;42;116
Age;40 to 44;Knee Replacement;EQ-5D Index;0.228;-0.182;-0.003;0.088;0.62;0.691;0.569;-0.133;0.403;0.691;0.796;1;0.341;-0.166;0.014;0.367;0.638;0.912;86;10;19;115
