OrgCode,OrgName,Procedure,Measure,Modelled_Records_2011,Modelled_Records_2012,Modelled_Records_2013,Modelled_Records_2014,Modelled_Records_2015,Modelled_Records_2016,Modelled_Records_2017,Adjusted_Health_Gain_2011,Adjusted_Health_Gain_2012,Adjusted_Health_Gain_2013,Adjusted_Health_Gain_2014,Adjusted_Health_Gain_2015,Adjusted_Health_Gain_2016,Adjusted_Health_Gain_2017,Outlier_2011,Outlier_2012,Outlier_2013,Outlier_2014,Outlier_2015,Outlier_2016,Outlier_2017
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Hip Replacement Primary,EQ VAS,0,0,0,0,16,82,145,-,-,-,-,-,14.526,17.283,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Positive outlier (95%)
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Hip Replacement Revision,EQ VAS,0,0,0,0,0,*,*,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Knee Replacement Primary,EQ VAS,0,0,0,0,21,126,200,-,-,-,-,-,7.549,10.606,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Positive outlier (95%)
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Knee Replacement Revision,EQ VAS,0,0,0,0,*,3,5,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Hip Replacement,EQ VAS,0,0,0,0,16,82,145,-,-,-,-,-,13.52,16.307,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Knee Replacement,EQ VAS,0,0,0,0,21,129,205,-,-,-,-,-,7.651,9.973,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Hip Replacement Primary,EQ-5D Index,0,0,0,0,16,86,157,-,-,-,-,-,0.48,0.508,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Positive outlier (95%)
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Hip Replacement Revision,EQ-5D Index,0,0,0,0,0,*,*,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Knee Replacement Primary,EQ-5D Index,0,0,0,0,19,149,213,-,-,-,-,-,0.335,0.347,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Knee Replacement Revision,EQ-5D Index,0,0,0,0,*,4,5,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Hip Replacement,EQ-5D Index,0,0,0,0,16,86,157,-,-,-,-,-,0.464,0.487,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Knee Replacement,EQ-5D Index,0,0,0,0,19,153,218,-,-,-,-,-,0.334,0.346,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Hip Replacement Primary,Oxford Hip Score,0,0,0,0,17,97,174,-,-,-,-,-,22.435,24.433,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Positive outlier (95%)
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Hip Replacement Revision,Oxford Hip Score,0,0,0,0,0,*,*,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Hip Replacement,Oxford Hip Score,0,0,0,0,17,97,174,-,-,-,-,-,20.511,22.722,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Knee Replacement Primary,Oxford Knee Score,0,0,0,0,21,156,225,-,-,-,-,-,17.222,17.819,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Knee Replacement Revision,Oxford Knee Score,0,0,0,0,*,5,5,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Knee Replacement,Oxford Knee Score,0,0,0,0,21,161,230,-,-,-,-,-,17.042,17.754,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier
AHH,FOSCOTE COURT (BANBURY) TRUST LTD,Hip Replacement Primary,EQ VAS,0,0,0,*,15,19,17,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records
AHH,FOSCOTE COURT (BANBURY) TRUST LTD,Knee Replacement Primary,EQ VAS,0,0,0,8,15,16,27,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records
