iter	RMSE
0	9.996558094
1	9.927762023
2	9.86037888
3	9.797585734
4	9.735364188
5	9.676028785
6	9.617234629
7	9.5609984
8	9.506476518
9	9.454229498
10	9.405529565
11	9.356870303
12	9.308635537
13	9.262278698
14	9.218404955
15	9.175704845
16	9.133658603
17	9.094290222
18	9.056168106
19	9.019973733
20	8.984730278
21	8.950072456
22	8.916183962
23	8.882267237
24	8.850787991
25	8.818810369
26	8.787634233
27	8.759183736
28	8.731101582
29	8.702195184
30	8.674953017
31	8.649200709
32	8.622893667
33	8.598233936
34	8.573337547
35	8.551074425
36	8.528318989
37	8.50610164
38	8.484527831
39	8.463546641
40	8.442858019
41	8.423461312
42	8.404299808
43	8.385932633
44	8.368024735
45	8.350778958
46	8.332911474
47	8.316589232
48	8.299812952
49	8.283914965
50	8.26840721
51	8.253559497
52	8.239512118
53	8.225240853
54	8.210877
55	8.197265999
56	8.18511253
57	8.172964352
58	8.160528077
59	8.148456353
60	8.13670957
61	8.124734163
62	8.114029201
63	8.102893849
64	8.093081317
65	8.083196757
66	8.073430984
67	8.063286111
68	8.053488184
69	8.044250775
70	8.035905183
71	8.026521294
72	8.017970243
73	8.008838916
74	8.000324796
75	7.991942585
76	7.984026949
77	7.976274591
78	7.968417066
79	7.961287246
80	7.953849704
81	7.946942195
82	7.939630373
83	7.933799246
84	7.927784659
85	7.92085655
86	7.914383015
87	7.908310595
88	7.901926474
89	7.896119846
90	7.89017177
91	7.884571374
92	7.878838567
93	7.873818807
94	7.868557225
95	7.863286994
96	7.859104944
97	7.854168957
98	7.849350577
99	7.844695134
100	7.840140661
101	7.835500095
102	7.830755557
103	7.82666147
104	7.82199043
105	7.817661439
106	7.813657404
107	7.809598282
108	7.806000958
109	7.802271472
110	7.798670249
111	7.795331451
112	7.791575174
113	7.788088862
114	7.784629424
115	7.781174827
116	7.777724728
117	7.774306175
118	7.770974131
119	7.767616214
120	7.764491497
121	7.761306218
122	7.758331001
123	7.755035586
124	7.752239491
125	7.749323595
126	7.746219767
127	7.743535758
128	7.740527512
129	7.737345514
130	7.734887701
131	7.732501734
132	7.72976471
133	7.7268758
134	7.724317339
135	7.721856333
136	7.71964128
137	7.717196496
138	7.714999503
139	7.712865733
140	7.710797883
141	7.708361802
142	7.705827794
143	7.703725747
144	7.701574852
145	7.69985337
146	7.697521429
147	7.695298849
148	7.693153969
149	7.69103083
150	7.689122094
151	7.687209088
152	7.685192352
153	7.683419654
154	7.681531968
155	7.679548662
156	7.677588955
157	7.67568765
158	7.674042316
159	7.672242085
160	7.670500821
161	7.668360231
162	7.66675799
163	7.665063832
164	7.663321786
165	7.661734219
166	7.659999217
167	7.65846148
168	7.657017599
169	7.655456068
170	7.653968075
171	7.652715517
172	7.651273494
173	7.649774286
174	7.648397287
175	7.64712315
176	7.645480274
177	7.64424552
178	7.642967412
179	7.641597151
180	7.64032652
181	7.638861156
182	7.637617707
183	7.636593106
184	7.635355625
185	7.634010562
186	7.632552934
187	7.631443834
188	7.629944161
189	7.628893894
190	7.627753734
191	7.626697302
192	7.625706182
193	7.624496475
194	7.623330938
195	7.622030572
196	7.621031535
197	7.620070059
198	7.618873985
199	7.617732716
200	7.616460866
201	7.615464561
202	7.614147475
203	7.613133016
204	7.612069216
205	7.610948851
206	7.609866501
207	7.608815243
208	7.607911831
209	7.606885645
210	7.605494765
211	7.604455227
212	7.603232506
213	7.602204394
214	7.601254954
215	7.600368611
216	7.600026139
217	7.599243722
218	7.598142088
219	7.597248306
220	7.596289408
221	7.595000705
222	7.594053577
223	7.593093725
224	7.591909804
225	7.590782355
226	7.589992543
227	7.589040164
228	7.58807476
229	7.587182707
230	7.586511439
231	7.585323017
232	7.584270639
233	7.583398071
234	7.582612415
235	7.581663541
236	7.58084764
237	7.580053114
238	7.579346069
239	7.578487934
240	7.577291932
241	7.576531646
242	7.575587416
243	7.574728352
244	7.573853395
245	7.573088504
246	7.572313943
247	7.571572212
248	7.570875019
249	7.569924515
250	7.569275747
251	7.568293821
252	7.567256485
253	7.566588451
254	7.565558892
255	7.564911221
256	7.564165272
257	7.563495988
258	7.562581295
259	7.561795931
260	7.560903979
261	7.560244257
262	7.559574887
263	7.559030017
264	7.558140165
265	7.557415032
266	7.556781492
267	7.556178308
268	7.555510617
269	7.554709093
270	7.553905696
271	7.553343642
272	7.552729485
273	7.551922295
274	7.551380576
275	7.550812218
276	7.550189781
277	7.549531549
278	7.54847567
279	7.547846132
280	7.546895294
281	7.546251295
282	7.545508839
283	7.544997181
284	7.544445707
285	7.543852359
286	7.543023744
287	7.542299701
288	7.541290803
289	7.54048292
290	7.539840953
291	7.538894795
292	7.538378043
293	7.537469428
294	7.536885696
295	7.536293727
296	7.535619196
297	7.535023034
298	7.534478962
299	7.534010289
300	7.533160802
301	7.53270144
302	7.531987374
303	7.531332301
304	7.530820968
305	7.530134205
306	7.529524886
307	7.528935583
308	7.528388039
309	7.527713522
310	7.527249458
311	7.526551649
312	7.52595727
313	7.525515826
314	7.524933462
315	7.524361992
316	7.523863624
317	7.523215435
318	7.522781748
319	7.522251354
320	7.521636382
321	7.521020006
322	7.520329501
323	7.519867848
324	7.519041441
325	7.518250055
326	7.517746879
327	7.517107654
328	7.516749292
329	7.51626487
330	7.515776054
331	7.515247028
332	7.514775258
333	7.514257437
334	7.513881038
335	7.513344157
336	7.512767919
337	7.512227259
338	7.511753807
339	7.51112242
340	7.510671476
341	7.510083641
342	7.509630629
343	7.509160813
344	7.508771784
345	7.508193133
346	7.507519768
347	7.507167703
348	7.506726809
349	7.506029947
350	7.505511229
351	7.505078154
352	7.504519784
353	7.5039465
354	7.503457523
355	7.502937063
356	7.502232709
357	7.501684383
358	7.50125938
