iter	Passed	Remaining
0	32	20878
1	65	21088
2	96	20848
3	128	20739
4	160	20648
5	186	19998
6	220	20213
7	251	20180
8	279	19937
9	310	19884
10	338	19681
11	370	19692
12	400	19615
13	433	19698
14	463	19623
15	489	19378
16	515	19204
17	539	18954
18	566	18801
19	594	18728
20	623	18668
21	648	18506
22	677	18456
23	704	18368
24	729	18248
25	759	18226
26	786	18147
27	812	18040
28	837	17924
29	865	17896
30	889	17767
31	915	17676
32	940	17577
33	967	17523
34	994	17477
35	1020	17399
36	1051	17427
37	1084	17471
38	1116	17498
39	1149	17522
40	1182	17560
41	1217	17631
42	1248	17623
43	1278	17614
44	1309	17603
45	1343	17637
46	1381	17722
47	1413	17732
48	1446	17745
49	1475	17711
50	1552	18238
51	1613	18556
52	1655	18650
53	1687	18627
54	1718	18591
55	1748	18543
56	1779	18515
57	1810	18478
58	1842	18457
59	1873	18423
60	1902	18371
61	1929	18298
62	1956	18233
63	1986	18185
64	2012	18116
65	2042	18072
66	2071	18029
67	2101	17983
68	2130	17938
69	2157	17873
70	2180	17784
71	2208	17725
72	2232	17649
73	2263	17615
74	2290	17563
75	2320	17522
76	2343	17442
77	2371	17390
78	2401	17358
79	2426	17290
80	2454	17238
81	2485	17218
82	2512	17166
83	2540	17119
84	2570	17085
85	2600	17052
86	2626	16993
87	2653	16943
88	2678	16884
89	2707	16849
90	2731	16781
91	2758	16730
92	2785	16680
93	2809	16617
94	2835	16563
95	2862	16520
96	2888	16466
97	2916	16429
98	2942	16377
99	2969	16332
100	2995	16281
101	3022	16237
102	3051	16205
103	3079	16168
104	3109	16139
105	3135	16093
106	3161	16042
107	3189	16006
108	3214	15952
109	3241	15914
110	3271	15885
111	3328	15988
112	3353	15938
113	3376	15875
114	3407	15853
115	3432	15800
116	3456	15745
117	3482	15701
118	3507	15652
119	3532	15603
120	3579	15650
121	3606	15607
122	3629	15549
123	3655	15505
124	3684	15474
125	3708	15421
126	3730	15361
127	3750	15293
128	3770	15229
129	3793	15175
130	3816	15118
131	3837	15059
132	3860	15006
133	3882	14949
134	3906	14901
135	3926	14839
136	3950	14791
137	3971	14733
138	3992	14678
139	4015	14626
140	4043	14596
141	4065	14542
142	4087	14492
143	4108	14437
144	4130	14385
145	4153	14337
146	4172	14278
147	4195	14232
148	4216	14177
149	4236	14120
150	4258	14072
151	4279	14021
152	4298	13964
153	4320	13916
154	4344	13875
155	4365	13825
156	4388	13780
157	4409	13729
158	4430	13681
159	4451	13632
160	4473	13588
161	4496	13546
162	4516	13495
163	4537	13446
164	4560	13406
165	4592	13389
166	4611	13337
167	4638	13307
168	4666	13281
169	4688	13237
170	4706	13184
171	4729	13142
172	4751	13099
173	4774	13061
174	4800	13029
175	4825	12997
176	4861	12991
177	4885	12955
178	4914	12932
179	4942	12906
180	4969	12876
181	4996	12848
182	5025	12825
183	5051	12793
184	5077	12762
185	5106	12738
186	5136	12718
187	5166	12697
188	5195	12673
189	5222	12644
190	5247	12610
191	5280	12596
192	5309	12573
193	5343	12559
194	5370	12530
195	5394	12495
196	5420	12463
197	5441	12421
198	5465	12386
199	5492	12358
