iter	MultiClass
0	1.356890331	1	1.329922012	2	1.305300513	3	1.28239712444	1.26130858455	1.241780106	6	1.223868367	7	1.20697957888	1.19186329	19	1.176820611010	1.162991111	11	1.14988112	112	1.13801113	113	1.12652114	114	1.11587115	115	1.10574116	116	1.09602517	117	1.08716618	118	1.07832919	119	1.07012620	120	1.06238321	121	1.05494622	122	1.04778223	123	1.04120124	1.032344787
25	1.026278011
26	1.020556456
27	1.014865964
28	1.009477526
29	1.004387874
30	0.9996473377
3131	0.9979816503232	0.99376561133	0.9868340481
34	0.9828909122
35	0.979240557
36	0.9755276556
37	0.972084814
38	0.9687179807
39	0.9655384967
40	0.9623715627
41	0.9593926257
42	0.9565914868
43	0.9540487131
44	0.9515569554
45	0.9490810204
46	0.9465921513
47	0.9443490745
48	0.9422658181
49	0.9401494547
50	0.9379625092
51	0.9360292284
52	0.9340461365
53	0.9322300821
54	0.9303327096
55	0.928676838
56	0.9270448441
57	0.9254976038
58	0.9241144916
59	0.922556299
60	0.9211650513
61	0.9196704437
62	0.9183556156
63	0.917202155
64	0.9158659859
65	0.9146809416
66	0.9134702269
67	0.9123252015
68	0.9117138516
69	0.9107542552
70	0.9096955327
71	0.9085368155
72	0.9075258722
73	0.9065322191
74	0.9055607729
75	0.9046677681
76	0.9037164599
77	0.9028233861
78	0.9019384951
79	0.9011198064
80	0.9004072792
81	0.8997550745
82	0.8989945165
83	0.8982520911
84	0.8975712048
85	0.8968685839
86	0.8962345697
87	0.8954903289
88	0.8948601456
89	0.8943072297
90	0.8936274758
91	0.8930046218
92	0.8923988105
93	0.8917996935
94	0.8911598757
95	0.8906224599
96	0.8899354748
97	0.8894038751
98	0.8888397289
99	0.8883389898
100	0.8877531485
101	0.8872186001
102	0.8865868327
103	0.8860970329
104	0.8855071855
105	0.8849825115
106	0.8845535762
107	0.8839942585
108	0.8835044224
109	0.8829862863
110	0.8825599155
111	0.8820286785
112	0.881555993
113	0.8811242679
114	0.8806413139
115	0.8802443017
116	0.879870202
117	0.8795208026
118	0.8791127518
119	0.8785822312
120	0.8781162802
121	0.8776909798
122	0.8774074575
123	0.8768958217
124	0.8766252243
125	0.8762390825
126	0.875789701
127	0.8753641763
128	0.8750302129	129	0.8746368130	0.8786156181
131	0.8781346891
132	0.8776627134
133	0.8772707756
134	0.8768826304
135	0.8765201159
136	0.8761932596
137	0.875782112
138	0.8755066223
139	0.875079076
140	0.8747277778
141	0.8744955191
142	0.8740603207
143	0.8736731603
144	0.8733024693
145	0.8730082737
146	0.872736014
147	0.8723302503
148	0.8720831995
149	0.8717149169
150	0.8712756148
151	0.8709865283
152	0.8706501574
153	0.8702232737
154	0.8700190113
155	0.8697918132
156	0.8694486707
157	0.8690805789
158	0.8688126643
159	0.8685293872
160	0.8682078092
161	0.8679011795
162	0.8675043929
163	0.8672074837
164	0.8669659958
165	0.8666683293
166	0.8663773952
167	0.8661336304
168	0.8658220462
169	0.8655920652
170	0.8652501179
171	0.8649683529
172	0.8646932823
173	0.864449781
174	0.8642417828
175	0.8639127113
176	0.863570257
177	0.8633365355
178	0.8630740228
179	0.8627025131
180	0.8624076879
181	0.8620928338
182	0.8618553642
183	0.8615628274
184	0.8612386275
185	0.8610088965
186	0.8606732385
187	0.8603442363
188	0.8601305395
189	0.8597631788
190	0.8594449795
191	0.8591617903
192	0.8588654237
193	0.8585561906
194	0.8582826546
195	0.8579090578
196	0.8576307436
197	0.857378753
198	0.8571118365
199	0.8567571437
200	0.8565932069
201	0.8564049682
202	0.8560570667
203	0.8557219993
204	0.8555925026
205	0.8554075172
206	0.8551411443
207	0.8548880449
208	0.8546620318
209	0.8544620306
210	0.8542222794
211	0.8539423399
212	0.8536976939
213	0.8535212912
214	0.8532562551
215	0.8529848253
216	0.8526630094
217	0.8523907722
218	0.8521538793
219	0.8519211743
220	0.8516141806
221	0.8514282696
222	0.8511277674
223	0.8509289403
224	0.8505961759
225	0.8503093831
226	0.8499541299
227	0.8497462386
228	0.8495523678
229	0.8492880804
230	0.8490844377
231	0.8489664134
232	0.8486960668
233	0.8485349243
234	0.8482220104
235	0.8478991596
236	0.8477132431
237	0.8474097591
238	0.8471374729
239	0.8468251022
240	0.8465640633
241	0.8463201438
242	0.8461171066
243	0.8459327197
244	0.8457100628
245	0.8454897369
246	0.8452422361
247	0.8449753654
248	0.8447473616
249	0.8444737436
250	0.8443843034
251	0.8441176131
252	0.8438980079
253	0.8436734038
254	0.8434684481
255	0.8431427277
256	0.842907766
257	0.8427347247
258	0.8424717372
259	0.842246117
260	0.8420689144
261	0.8417262553
262	0.8415627518
263	0.8413480821
264	0.8411530061
265	0.8408302845
266	0.8405730269
267	0.8402553253
268	0.8400819823
269	0.8398077603
270	0.8397039785
271	0.8395096323
272	0.8393741292
273	0.8391109961
274	0.8387938027
275	0.838616639
276	0.8384372912
277	0.8381074744
278	0.8378337311
279	0.8376855467
280	0.8374269792
281	0.837135937
282	0.8368961495
283	0.836587928
284	0.8364365906
285	0.836117363
286	0.8358528339
287	0.835706661
288	0.8354904809
289	0.8352322055
290	0.8350020638
291	0.8347360002
292	0.8345571593
293	0.8344577995
294	0.8341824281
295	0.8339674275
296	0.8337007814
297	0.8333943101
298	0.8332457567
299	0.8329613029
300	0.832704313
301	0.8324917903
302	0.8322820948
303	0.8320802262
304	0.8319139409
305	0.8316720257
306	0.8315413036
307	0.8313159984
308	0.8310659787
309	0.8308423273
310	0.8305956622
311	0.830389492
312	0.8301482293
313	0.8299615248
314	0.8297348169
315	0.8294812446
316	0.8292146386
317	0.828963134
318	0.8286506688
319	0.8284492952
320	0.8282277768
321	0.8280486032
322	0.8278622459
323	0.8276845342
324	0.8274534831
325	0.8271439469
326	0.8269275652
