iter	Passed	Remaining
0	35	10513
1	74	11092
2	106	10528
3	139	10337
4	172	10176
5	204	10007
6	238	9981
7	266	9742
8	296	9578
9	332	9650
10	367	9663
11	402	9652
12	440	9714
13	477	9753
14	510	9695
15	543	9645
16	573	9540
17	603	9452
18	633	9368
19	667	9340
20	699	9292
21	735	9288
22	765	9216
23	798	9181
24	833	9164
25	863	9099
26	897	9074
27	927	9005
28	963	9004
29	996	8972
30	1035	8987
31	1070	8963
32	1099	8895
33	1133	8868
34	1164	8818
35	1195	8766
36	1226	8718
37	1259	8685
38	1297	8684
39	1328	8636
40	1357	8576
41	1392	8554
42	1425	8519
43	1454	8462
44	1489	8441
45	1523	8413
46	1558	8387
47	1593	8364
48	1629	8345
49	1663	8318
50	1692	8265
51	1727	8237
52	1758	8194
53	1791	8161
54	1824	8128
55	1856	8089
56	1889	8056
57	1911	7975
58	1942	7936
59	1974	7898
60	2004	7853
61	2031	7799
62	2059	7746
63	2091	7711
64	2115	7647
65	2137	7576
66	2160	7514
67	2177	7428
68	2194	7347
69	2220	7296
70	2239	7222
71	2256	7144
72	2274	7073
73	2292	6999
74	2309	6928
75	2327	6859
76	2344	6791
77	2357	6710
78	2367	6623
79	2378	6539
80	2405	6503
81	2426	6450
82	2435	6368
83	2448	6296
84	2457	6216
85	2467	6140
86	2475	6060
87	2487	5991
88	2497	5920
89	2506	5847
90	2516	5780
91	2526	5711
92	2536	5644
93	2545	5579
94	2554	5512
95	2564	5449
96	2574	5387
97	2582	5323
98	2592	5264
99	2602	5204
100	2611	5145
101	2619	5085
102	2628	5027
103	2637	4970
104	2646	4914
105	2655	4860
106	2667	4811
107	2678	4761
108	2688	4710
109	2696	4658
110	2705	4607
111	2714	4556
112	2724	4508
113	2732	4458
114	2741	4410
115	2749	4361
116	2758	4315
117	2769	4270
118	2778	4225
119	2787	4180
120	2795	4135
121	2804	4092
122	2814	4050
123	2825	4010
124	2835	3969
125	2844	3927
126	2853	3887
127	2862	3846
128	2871	3806
129	2878	3764
130	2887	3724
131	2897	3687
132	2906	3649
133	2915	3611
134	2923	3573
135	2932	3536
136	2941	3499
137	2951	3464
138	2959	3427
139	2967	3391
140	2977	3357
141	2984	3320
142	2992	3285
143	3003	3253
144	3011	3219
145	3019	3184
146	3027	3151
147	3036	3118
148	3043	3084
149	3051	3051
150	3060	3020
151	3069	2988
152	3079	2958
153	3087	2926
154	3097	2897
155	3105	2866
156	3114	2836
157	3124	2807
158	3131	2777
159	3140	2748
160	3149	2719
161	3158	2690
162	3166	2661
163	3177	2634
164	3189	2609
165	3201	2584
166	3214	2560
167	3226	2535
168	3236	2509
169	3244	2481
170	3255	2456
171	3264	2429
172	3275	2404
173	3286	2379
174	3294	2353
175	3304	2327
176	3313	2302
177	3324	2278
178	3335	2254
179	3343	2228
180	3353	2204
181	3362	2180
182	3372	2156
183	3386	2134
184	3394	2109
185	3404	2086
186	3413	2062
187	3421	2038
188	3431	2015
189	3439	1991
190	3449	1968
191	3458	1945
192	3471	1924
193	3480	1901
194	3489	1879
195	3498	1856
196	3507	1833
197	3515	1811
198	3523	1788
199	3532	1766
200	3542	1744
201	3549	1722
202	3558	1700
203	3566	1678
204	3576	1657
205	3585	1635
206	3594	1615
207	3602	1593
208	3612	1572
209	3620	1551
210	3628	1530
211	3635	1509
212	3647	1489
213	3657	1469
214	3667	1449
215	3677	1430
216	3686	1409
217	3696	1390
218	3705	1370
219	3713	1350
220	3723	1331
221	3733	1311
222	3742	1292
223	3752	1273
224	3761	1253
225	3772	1235
226	3783	1216
227	3792	1197
228	3802	1178
229	3809	1159
230	3819	1140
231	3827	1121
232	3837	1103
233	3845	1084
234	3854	1066
235	3864	1047
236	3873	1029
237	3883	1011
238	3891	993
239	3901	975
240	3909	957
241	3919	939
242	3928	921
243	3936	903
244	3945	885
245	3953	867
246	3962	850
247	3970	832
248	3978	814
249	3987	797
250	3996	780
251	4004	762
252	4013	745
253	4022	728
254	4032	711
255	4041	694
256	4050	677
257	4058	660
258	4067	643
259	4076	627
260	4084	610
261	4093	593
262	4101	577
263	4109	560
264	4118	543
265	4127	527
266	4135	511
267	4144	494
268	4153	478
269	4162	462
270	4171	446
271	4179	430
272	4187	414
273	4194	398
274	4203	382
275	4211	366
276	4221	350
277	4229	334
278	4238	319
279	4245	303
280	4255	287
281	4264	272
282	4273	256
283	4282	241
284	4291	225
285	4301	210
286	4309	195
287	4318	179
288	4327	164
289	4337	149
290	4346	134
291	4356	119
292	4366	104
293	4375	89
294	4384	74
295	4392	59
296	4402	44
297	4411	29
298	4419	14
299	4428	0
1
267	26759	3195
268	26807	3089
269	26867	2985
270	26907	2879
271	26950	2774
272	27003	2670
273	27045	2566
274	27086	2462
275	27129	2359
276	27177	2256
277	27220	2154
278	27275	2052
279	27322	1951
280	27369	1850
281	27419	1750
282	27459	1649
283	27512	1550
284	27560	1450
285	27600	1351
286	27650	1252
287	27688	1153
288	27760	1056
289	27808	958
290	27868	861
291	27907	764
292	27954	667
293	27988	571
294	28015	474
295	28031	378
296	28050	283
297	28068	188
298	28088	93
299	28105	0
