Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
England,England,Hip Replacement,EQ VAS,63.523,20,50,70,80,95,77.545,40,70,80,90,100,14.022,-20,0,10,29,57,24327,3066,7573,34966
England,England,Hip Replacement,EQ-5D Index,0.344,-0.074,0.055,0.516,0.656,0.76,0.8,0.26,0.691,0.848,1,1,0.456,0,0.205,0.413,0.741,1.016,32665,1818,1786,36269
England,England,Hip Replacement,Oxford Hip Score,17.625,5,11,17,23,32,39.886,22,36,43,47,48,22.261,4,16,23,30,37,38183,199,914,39296
England,England,Knee Replacement,EQ VAS,67.887,30,52,70,80,95,75.42,40,68,80,90,97,7.533,-25,-5,5,20,45,22979,4563,11217,38759
England,England,Knee Replacement,EQ-5D Index,0.416,-0.074,0.088,0.587,0.691,0.76,0.753,0.159,0.691,0.796,1,1,0.337,-0.104,0.071,0.309,0.603,0.899,33173,3658,3343,40174
England,England,Knee Replacement,Oxford Knee Score,19.05,7,13,19,24,32,36.28,18,31,38,44,47,17.231,0,11,18,24,33,40691,385,1897,42973
Age,10 to 14,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age,10 to 14,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age,15 to 19,Hip Replacement,EQ VAS,57.75,37.75,45,55,70,81.75,86.5,66.5,80,90,93.25,100,28.75,-1.75,10,26.5,50.5,55,11,0,1,12
Age,15 to 19,Hip Replacement,EQ-5D Index,0.318,-0.144,0.082,0.516,0.587,0.648,0.741,0.475,0.62,0.725,0.85,1,0.423,0.077,0.228,0.413,0.538,0.837,13,0,0,13
Age,15 to 19,Hip Replacement,Oxford Hip Score,19.333,11.4,13,19,22.5,29.9,39.333,26.2,37,42,46,47,20,2.4,13.5,24,26.5,30.9,15,0,0,15
Age,15 to 19,Knee Replacement,EQ VAS,20,20,20,20,20,20,30,30,30,30,30,30,10,10,10,10,10,10,1,0,0,1
Age,15 to 19,Knee Replacement,EQ-5D Index,-0.484,-0.484,-0.484,-0.484,-0.484,-0.484,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,0.468,0.468,0.468,0.468,0.468,0.468,1,0,0,1
Age,15 to 19,Knee Replacement,Oxford Knee Score,7,7,7,7,7,7,12,12,12,12,12,12,5,5,5,5,5,5,1,0,0,1
Age,20 to 24,Hip Replacement,EQ VAS,61.12,16,40,65,80,95,69,30,45,70,90,99.6,7.88,-43,-10,5,30,43.4,14,3,8,25
Age,20 to 24,Hip Replacement,EQ-5D Index,0.268,-0.236,-0.06,0.158,0.62,0.725,0.657,0.032,0.534,0.638,0.962,1,0.388,-0.17,0.074,0.388,0.698,1.068,17,2,3,22
Age,20 to 24,Hip Replacement,Oxford Hip Score,16.571,8,9,15,24,30,33.667,18,23,36,42,48,17.095,4,10,14,26,32,20,0,1,21
Age,20 to 24,Knee Replacement,EQ VAS,70,70,70,70,70,70,20,20,20,20,20,20,-50,-50,-50,-50,-50,-50,0,0,1,1
Age,20 to 24,Knee Replacement,EQ-5D Index,0.62,0.62,0.62,0.62,0.62,0.62,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.636,-0.636,-0.636,-0.636,-0.636,-0.636,0,0,1,1
Age,20 to 24,Knee Replacement,Oxford Knee Score,21,21,21,21,21,21,13,13,13,13,13,13,-8,-8,-8,-8,-8,-8,0,0,1,1
Age,25 to 29,Hip Replacement,EQ VAS,54.872,26.3,40,50,72.5,90,79.41,38.8,70.5,85,95,100,24.538,-20,10,20,40,60.8,33,2,4,39
Age,25 to 29,Hip Replacement,EQ-5D Index,0.314,-0.195,0.08,0.312,0.587,0.76,0.75,-0.101,0.69,0.848,1,1,0.436,0.044,0.179,0.413,0.651,0.929,34,1,1,36
Age,25 to 29,Hip Replacement,Oxford Hip Score,18.282,5.9,14,18,23.5,28.4,40.359,14.7,37.5,45,48,48,22.077,1.9,18,23,29.5,36.1,38,0,1,39
