Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
England,ENGLAND,175041,150340,0.8588845,117142,0.7791805,139953,0.9309099,97545,0.696984,81130,69500,0.8566498,55029,0.7917842,65066,0.9362014,46172,0.7096179,75567,52200,0.6907777,52200,1,49572,0.9496552,38205,0.7706972,5563,2829,0.5085386,2829,1,2771,0.9794981,1967,0.709852,93911,80840,0.860815,62113,0.7683449,74887,0.9263607,51373,0.6860069,88910,59694,0.671398,59694,1,56059,0.9391061,42668,0.7611267,5001,2419,0.4837033,2419,1,2355,0.9735428,1596,0.677707
RCF,AIREDALE NHS FOUNDATION TRUST,445,361,0.811236,321,0.8891967,359,0.9944598,270,0.7520891,240,195,0.8125,168,0.8615385,195,1,143,0.7333333,218,155,0.7110092,155,1,155,1,120,0.7741935,22,13,0.5909091,13,1,13,1,11,0.8461538,205,166,0.8097561,153,0.9216867,164,0.9879518,127,0.7743902,196,*,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,849,755,0.8892815,543,0.7192053,694,0.9192053,409,0.5893372,416,383,0.9206731,287,0.7493473,358,0.9347258,221,0.6173184,396,275,0.6944444,275,1,265,0.9636364,182,0.6867925,20,12,0.6,12,1,12,1,4,0.3333333,433,372,0.8591224,256,0.688172,336,0.9032258,188,0.5595238,411,243,0.5912409,243,1,229,0.9423868,149,0.650655,22,13,0.5909091,13,1,12,0.9230769,8,0.6666667
NVC01,ASHTEAD HOSPITAL,82,83,1.0121951,66,0.7951807,83,1,60,0.7228916,38,43,1.1315789,33,0.7674419,43,1,31,0.7209302,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,44,40,0.9090909,33,0.825,40,1,29,0.725,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NYW04,ASPEN - CLAREMONT HOSPITAL,182,30,0.1648352,18,0.6,18,0.6,18,1,79,20,0.2531646,14,0.7,13,0.65,13,1,*,14,*,14,1,10,0.7142857,10,1,*,0,*,0,0,0,0,0,0,103,10,0.0970874,4,0.4,5,0.5,5,1,*,*,*,*,*,*,*,*,*,*,0,*,0,0,0,0,0,0
NYW03,ASPEN - HIGHGATE HOSPITAL,15,28,1.8666667,8,0.2857143,5,0.1785714,5,1,*,11,*,3,0.2727273,0,0,0,0,*,*,*,*,*,0,*,0,*,0,0,0,0,0,0,0,0,0,15,17,1.1333333,5,0.2941176,5,0.2941176,5,1,15,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0
NYW02,ASPEN - PARKSIDE HOSPITAL,28,0,0,0,0,0,0,0,0,17,*,*,*,*,*,*,*,*,17,*,*,*,*,0,*,0,*,0,0,0,0,0,0,0,0,0,11,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0
NYW01,ASPEN - THE HOLLY,82,90,1.097561,29,0.3222222,33,0.3666667,33,1,32,35,1.09375,8,0.2285714,15,0.4285714,15,1,*,8,*,8,1,3,0.375,3,1,*,0,*,0,0,0,0,0,0,50,55,1.1,21,0.3818182,18,0.3272727,18,1,50,21,0.42,21,1,9,0.4285714,9,1,0,0,0,0,0,0,0,0,0
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",584,636,1.0890411,419,0.658805,596,0.9371069,292,0.4899329,234,234,1,171,0.7307692,215,0.9188034,125,0.5813953,219,*,*,*,*,*,*,*,*,15,*,*,*,*,*,*,*,*,350,402,1.1485714,248,0.6169154,381,0.9477612,167,0.4383202,339,242,0.7138643,242,1,239,0.9876033,125,0.5230126,11,6,0.5454545,6,1,6,1,2,0.3333333
