Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
England,ENGLAND,169114,153425,0.9072283,116021,0.7562066,148927,0.9706827,112848,0.7577404,80443,69328,0.8618276,55652,0.8027348,67392,0.9720748,51454,0.7635031,74447,52494,0.7051191,52494,1,51720,0.9852555,41977,0.8116203,5996,3158,0.5266845,3158,1,3080,0.9753008,2288,0.7428571,88671,84097,0.9484161,60369,0.7178496,81535,0.9695352,61394,0.7529772,83712,57880,0.6914182,57880,1,56942,0.9837941,46327,0.8135822,4959,2489,0.5019157,2489,1,2439,0.9799116,1795,0.7359574
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,632,627,0.9920886,430,0.6858054,620,0.9888357,359,0.5790323,288,284,0.9861111,202,0.7112676,281,0.9894366,164,0.5836299,267,190,0.7116105,190,1,189,0.9947368,125,0.6613757,21,12,0.5714286,12,1,12,1,8,0.6666667,344,343,0.997093,228,0.664723,339,0.9883382,195,0.5752212,315,215,0.6825397,215,1,214,0.9953488,143,0.6682243,29,13,0.4482759,13,1,13,1,9,0.6923077
RCF,AIREDALE NHS FOUNDATION TRUST,449,444,0.9888641,384,0.8648649,441,0.9932432,365,0.8276644,234,228,0.974359,198,0.8684211,228,1,188,0.8245614,220,*,*,*,*,*,*,*,*,14,*,*,*,*,*,*,*,*,215,216,1.0046512,186,0.8611111,213,0.9861111,177,0.8309859,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,784,966,1.2321429,690,0.7142857,893,0.9244306,656,0.7346025,339,411,1.2123894,291,0.7080292,392,0.9537713,292,0.744898,322,280,0.8695652,280,1,275,0.9821429,213,0.7745455,17,11,0.6470588,11,1,11,1,7,0.6363636,445,555,1.247191,399,0.7189189,501,0.9027027,364,0.7265469,416,377,0.90625,377,1,371,0.9840849,281,0.7574124,29,22,0.7586207,22,1,21,0.9545455,16,0.7619048
NVC01,ASHTEAD HOSPITAL,155,171,1.1032258,136,0.7953216,171,1,146,0.8538012,104,106,1.0192308,91,0.8584906,106,1,95,0.8962264,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,51,65,1.2745098,45,0.6923077,65,1,51,0.7846154,*,45,0.9183673,*,1,45,1,37,0.8222222,*,0,*,0,0,0,0,0,0
NYW04,ASPEN - CLAREMONT HOSPITAL,220,249,1.1318182,0,0,150,0.6024096,150,1,98,87,0.8877551,0,0,56,0.6436782,56,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,162,1.3278689,0,0,94,0.5802469,94,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYW03,ASPEN - HIGHGATE HOSPITAL,18,0,0,0,0,0,0,0,0,9,*,*,0,*,*,*,*,*,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,*,*,0,*,*,*,*,*,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
NYW02,ASPEN - PARKSIDE HOSPITAL,14,7,0.5,0,0,2,0.2857143,2,1,14,7,0.5,0,0,2,0.2857143,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,0,*,0,*,0,*,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYW20,ASPEN - THE CHELMSFORD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYW01,ASPEN - THE HOLLY,110,227,2.0636364,0,0,81,0.3568282,81,1,36,85,2.3611111,0,0,28,0.3294118,28,1,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,74,142,1.9189189,0,0,53,0.3732394,53,1,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
