Dimension;Value;Procedure;Measure;Pre-Op Q Mean;Pre-Op Q 5%;Pre-Op Q 1st Quartile;Pre-Op Q Median;Pre-Op Q 3rd Quartile;Pre-Op Q 95%;Post-Op Q Mean;Post-Op Q 5%;Post-Op Q 1st Quartile;Post-Op Q Median;Post-Op Q 3rd Quartile;Post-Op Q 95%;Heath Gain Mean;Heath Gain 5%;Heath Gain 1st Quartile;Heath Gain Median;Heath Gain 3rd Quartile;Heath Gain 95%;Improved;Unchanged;Worsened;Total;Year
England;England;Hip Replacement;EQ VAS;64.067;20.0;50.0;70.0;80.0;95.0;77.29;40.0;70.0;80.0;90.0;100.0;13.223;-20.0;0.0;10.0;25.0;57.0;25956.0;3966.0;8585.0;38507.0;2016-17
England;England;Hip Replacement;EQ-5D Index;0.355;-0.074;0.055;0.516;0.689;0.76;0.794;0.217;0.691;0.815;1.0;1.0;0.44;-0.035;0.192;0.413;0.708;1.003;35767.0;2196.0;2147.0;40110.0;2016-17
England;England;Hip Replacement;Oxford Hip Score;18.033;5.0;12.0;17.0;24.0;33.0;39.525;21.0;35.0;42.0;46.0;48.0;21.491;3.0;15.0;22.0;29.0;37.0;41858.0;243.0;1150.0;43251.0;2016-17
England;England;Knee Replacement;EQ VAS;67.506;30.0;50.0;70.0;80.0;95.0;74.391;40.0;65.0;80.0;90.0;96.0;6.885;-29.0;-5.0;5.0;20.0;45.0;23836.0;5348.0;12273.0;41457.0;2016-17
England;England;Knee Replacement;EQ-5D Index;0.415;-0.074;0.088;0.587;0.691;0.76;0.738;0.088;0.689;0.76;1.0;1.0;0.323;-0.104;0.069;0.309;0.601;0.87;35260.0;4209.0;3954.0;43423.0;2016-17
England;England;Knee Replacement;Oxford Knee Score;19.051;7.0;13.0;19.0;24.0;32.0;35.537;16.0;30.0;38.0;43.0;47.0;16.485;-1.0;10.0;17.0;24.0;32.0;44015.0;486.0;2427.0;46928.0;2016-17
Age;10 to 14;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;10 to 14;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2016-17
Age;15 to 19;Hip Replacement;EQ VAS;53.5;21.25;43.75;57.0;67.25;79.0;80.0;51.25;75.0;90.0;90.0;93.75;26.5;13.5;16.25;25.0;30.75;45.25;6.0;0.0;0.0;6.0;2016-17
Age;15 to 19;Hip Replacement;EQ-5D Index;0.216;-0.217;0.106;0.159;0.48;0.612;0.881;0.714;0.757;0.924;1.0;1.0;0.665;0.2;0.475;0.801;0.841;0.982;6.0;0.0;0.0;6.0;2016-17
Age;15 to 19;Hip Replacement;Oxford Hip Score;17.0;7.75;11.75;17.5;22.5;25.5;44.667;37.75;41.75;47.5;48.0;48.0;27.667;22.25;23.25;25.5;29.25;37.5;6.0;0.0;0.0;6.0;2016-17
Age;15 to 19;Knee Replacement;EQ VAS;85.0;85.0;85.0;85.0;85.0;85.0;95.0;95.0;95.0;95.0;95.0;95.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.0;0.0;1.0;2016-17
Age;15 to 19;Knee Replacement;EQ-5D Index;0.055;0.055;0.055;0.055;0.055;0.055;1.0;1.0;1.0;1.0;1.0;1.0;0.945;0.945;0.945;0.945;0.945;0.945;1.0;0.0;0.0;1.0;2016-17
Age;15 to 19;Knee Replacement;Oxford Knee Score;15.0;15.0;15.0;15.0;15.0;15.0;43.0;43.0;43.0;43.0;43.0;43.0;28.0;28.0;28.0;28.0;28.0;28.0;1.0;0.0;0.0;1.0;2016-17
Age;20 to 24;Hip Replacement;EQ VAS;59.917;20.75;48.75;60.0;79.0;90.0;81.75;60.0;73.75;85.0;92.75;97.7;21.833;-10.0;4.0;22.5;35.75;65.0;19.0;1.0;4.0;24.0;2016-17
Age;20 to 24;Hip Replacement;EQ-5D Index;0.325;-0.227;-0.016;0.516;0.689;0.746;0.827;0.464;0.76;0.883;1.0;1.0;0.501;0.08;0.24;0.413;0.812;1.146;24.0;0.0;1.0;25.0;2016-17
Age;20 to 24;Hip Replacement;Oxford Hip Score;19.769;7.0;11.5;18.0;25.75;36.75;41.192;28.0;38.25;44.5;46.75;48.0;21.423;8.5;16.0;20.0;28.0;34.0;26.0;0.0;0.0;26.0;2016-17
