Organisation Code;Organisation Name;All Procedures - Total HES Procedures;All Procedures - Total Pre-Op Qs;All Procedures - Participation Rate;All Procedures - Total Linked;All Procedures - Linkage rate;All Procedures - Total Q2s sent to date;All Procedures - Issue rate;All Procedures - Total Q2s returned to date;All Procedures - Response rate;Hip Replacement - Total HES Procedures;Hip Replacement - Total Pre-Op Qs;Hip Replacement - Participation Rate;Hip Replacement - Total Linked;Hip Replacement - Linkage rate;Hip Replacement - Total Q2s sent to date;Hip Replacement - Issue rate;Hip Replacement - Total Q2s returned to date;Hip Replacement - Response rate;Primary Hip Replacement - Total HES Procedures;Primary Hip Replacement - Total Pre-Op Qs;Primary Hip Replacement - Participation Rate;Primary Hip Replacement - Total Linked;Primary Hip Replacement - Linkage rate;Primary Hip Replacement - Total Q2s sent to date;Primary Hip Replacement - Issue rate;Primary Hip Replacement - Total Q2s returned to date;Primary Hip Replacement - Response rate;Revision Hip Replacement - Total HES Procedures;Revision Hip Replacement - Total Pre-Op Qs;Revision Hip Replacement - Participation Rate;Revision Hip Replacement - Total Linked;Revision Hip Replacement - Linkage rate;Revision Hip Replacement - Total Q2s sent to date;Revision Hip Replacement - Issue rate;Revision Hip Replacement - Total Q2s returned to date;Revision Hip Replacement - Response rate;Knee Replacement - Total HES Procedures;Knee Replacement - Total Pre-Op Qs;Knee Replacement - Participation Rate;Knee Replacement - Total Linked;Knee Replacement - Linkage rate;Knee Replacement - Total Q2s sent to date;Knee Replacement - Issue rate;Knee Replacement - Total Q2s returned to date;Knee Replacement - Response rate;Primary Knee Replacement - Total HES Procedures;Primary Knee Replacement - Total Pre-Op Qs;Primary Knee Replacement - Participation Rate;Primary Knee Replacement - Total Linked;Primary Knee Replacement - Linkage rate;Primary Knee Replacement - Total Q2s sent to date;Primary Knee Replacement - Issue rate;Primary Knee Replacement - Total Q2s returned to date;Primary Knee Replacement - Response rate;Revision Knee Replacement - Total HES Procedures;Revision Knee Replacement - Total Pre-Op Qs;Revision Knee Replacement - Participation Rate;Revision Knee Replacement - Total Linked;Revision Knee Replacement - Linkage rate;Revision Knee Replacement - Total Q2s sent to date;Revision Knee Replacement - Issue rate;Revision Knee Replacement - Total Q2s returned to date;Revision Knee Replacement - Response rate;CSVYear
REM;AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST;632;627;0.9920886;430;0.6858054;620;0.9888357;359;0.5790323;288;284;0.9861111;202;0.7112676;281;0.9894366;164;0.5836299;267;190;0.7116105;190;1;189;0.9947368;125;0.6613757;21;12;0.5714286;12;1;12;1;8;0.6666667;344;343;0.997093;228;0.664723;339;0.9883382;195;0.5752212;315;215;0.6825397;215;1;214;0.9953488;143;0.6682243;29;13;0.4482759;13;1;13;1;9;0.6923077;2016/17
REM;AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST;542;377;0.695572;235;0.6233422;376;0.9973475;216;0.5744681;265;188;0.709434;115;0.6117021;187;0.9946809;103;0.5508021;247;107;0.4331984;107;1;107;1;66;0.6168224;18;8;0.4444444;8;1;8;1;5;0.625;277;189;0.6823105;120;0.6349206;189;1;113;0.5978836;257;113;0.4396887;113;1;113;1;80;0.7079646;20;7;0.35;7;1;7;1;5;0.7142857;2017/18
RCF;AIREDALE NHS FOUNDATION TRUST;449;444;0.9888641;384;0.8648649;441;0.9932432;365;0.8276644;234;228;0.974359;198;0.8684211;228;1;188;0.8245614;220;*;*;*;*;*;*;*;*;14;*;*;*;*;*;*;*;*;215;216;10.046.512;186;0.8611111;213;0.9861111;177;0.8309859;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2016/17
RCF;AIREDALE NHS FOUNDATION TRUST;471;424;0.9002123;376;0.8867925;420;0.990566;327;0.7785714;243;211;0.8683128;185;0.8767773;208;0.985782;169;0.8125;230;*;*;*;*;*;*;*;*;13;*;*;*;*;*;*;*;*;228;213;0.9342105;191;0.8967136;212;0.9953052;158;0.745283;222;*;*;*;*;*;*;*;*;6;*;*;*;*;*;*;*;*;2017/18
RCF;AIREDALE NHS FOUNDATION TRUST;445;361;0.811236;321;0.8891967;359;0.9944598;270;0.7520891;240;195;0.8125;168;0.8615385;195;1;143;0.7333333;218;155;0.7110092;155;1;155;1;120;0.7741935;22;13;0.5909091;13;1;13;1;11;0.8461538;205;166;0.8097561;153;0.9216867;164;0.9879518;127;0.7743902;196;*;*;*;*;*;*;*;*;9;*;*;*;*;*;*;*;*;2018/19
RBS;ALDER HEY CHILDREN'S NHS FOUNDATION TRUST;0;0;0.0;0;0.0;0;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;*;0;*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018/19
RTK;ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST;784;966;12.321.429;690;0.7142857;893;0.9244306;656;0.7346025;339;411;12.123.894;291;0.7080292;392;0.9537713;292;0.744898;322;280;0.8695652;280;1;275;0.9821429;213;0.7745455;17;11;0.6470588;11;1;11;1;7;0.6363636;445;555;1.247.191;399;0.7189189;501;0.9027027;364;0.7265469;416;377;0.90625;377;1;371;0.9840849;281;0.7574124;29;22;0.7586207;22;1;21;0.9545455;16;0.7619048;2016/17
RTK;ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST;691;778;11.259.045;480;0.6169666;687;0.8830334;410;0.5967977;315;353;11.206.349;219;0.6203966;308;0.8725212;182;0.5909091;295;210;0.7118644;210;1;201;0.9571429;135;0.6716418;20;9;0.45;9;1;9;1;3;0.3333333;376;425;11.303.191;261;0.6141176;379;0.8917647;228;0.6015831;349;248;0.7106017;248;1;241;0.9717742;164;0.6804979;27;13;0.4814815;13;1;12;0.9230769;7;0.5833333;2017/18
RTK;ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST;849;755;0.8892815;543;0.7192053;694;0.9192053;409;0.5893372;416;383;0.9206731;287;0.7493473;358;0.9347258;221;0.6173184;396;275;0.6944444;275;1;265;0.9636364;182;0.6867925;20;12;0.6;12;1;12;1;4;0.3333333;433;372;0.8591224;256;0.688172;336;0.9032258;188;0.5595238;411;243;0.5912409;243;1;229;0.9423868;149;0.650655;22;13;0.5909091;13;1;12;0.9230769;8;0.6666667;2018/19
NVC01;ASHTEAD HOSPITAL;155;171;11.032.258;136;0.7953216;171;1.0;146;0.8538012;104;106;10.192.308;91;0.8584906;106;1;95;0.8962264;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;51;65;12.745.098;45;0.6923077;65;1;51;0.7846154;*;45;0.9183673;*;1;45;1;37;0.8222222;*;0;*;0;0;0;0;0;0;2016/17
NVC01;ASHTEAD HOSPITAL;74;84;11.351.351;62;0.7380952;82;0.9761905;71;0.8658537;36;41;11.388.889;29;0.7073171;39;0.9512195;35;0.8974359;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;38;43;11.315.789;33;0.7674419;43;1;36;0.8372093;*;*;*;*;*;*;*;*;0.90625;*;*;*;*;*;*;*;0;*;2017/18
NVC01;ASHTEAD HOSPITAL;82;83;10.121.951;66;0.7951807;83;1.0;60;0.7228916;38;43;11.315.789;33;0.7674419;43;1;31;0.7209302;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;44;40;0.9090909;33;0.825;40;1;29;0.725;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NYW04;ASPEN - CLAREMONT HOSPITAL;220;249;11.318.182;0;0.0;150;0.6024096;150;1.0;98;87;0.8877551;0;0;56;0.6436782;56;1;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;162;13.278.689;0;0;94;0.5802469;94;1;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2016/17
